id,id_prompt,reference,syntax,mistakes,nota,nota_regra
8.html,posse-de-armas-mais-seguranca-ou-mais-perigo,grader_a,3,1,4,[3]
0.html,a-ciencia-na-era-da-pos-verdade,grader_b,1,0,2,[1]
8.html,preservacao-da-amazonia-desafio-brasileiro-ou-internacional,grader_b,1,0,2,[1]
14.html,criptomoeda-tecnologia-e-revolucao-economica,grader_b,2,1,4,[3]
19.html,a-fe-e-decisiva-para-uma-vida-melhor,grader_b,3,2,3,[4]
11.html,direitos-humanos-em-defesa-de-quem,grader_a,2,1,4,[3]
14.html,internacao-compulsoria-de-dependentes-de-crack,grader_a,3,1,4,[3]
2.html,criptomoeda-tecnologia-e-revolucao-economica,grader_a,3,1,4,[3]
12.html,a-onda-conservadora-e-o-brasil-nos-proximos-anos,grader_b,3,2,5,[4]
17.html,cantar-ou-nao-cantar-o-hino-nacional-eis-a-questao,grader_a,2,1,4,[3]
10.html,a-ciencia-na-era-da-pos-verdade,grader_a,3,1,4,[3]
7.html,criptomoeda-tecnologia-e-revolucao-economica,grader_a,3,1,4,[3]
17.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,grader_a,3,1,4,[3]
4.html,escola-no-brasil-com-partido-ou-sem-partido,grader_b,3,1,4,[3]
3.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,grader_a,2,1,4,[3]
11.html,a-onda-conservadora-e-o-brasil-nos-proximos-anos,grader_b,2,1,4,[3]
18.html,criptomoeda-tecnologia-e-revolucao-economica,grader_a,1,0,3,[1]
12.html,cantar-ou-nao-cantar-o-hino-nacional-eis-a-questao,grader_a,2,1,4,[3]
7.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,grader_b,3,1,4,[3]
12.html,criptomoeda-tecnologia-e-revolucao-economica,grader_a,2,1,4,[3]
13.html,cantar-ou-nao-cantar-o-hino-nacional-eis-a-questao,grader_a,3,1,4,[3]
14.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,grader_b,2,1,2,[3]
15.html,carnaval-e-apropriacao-cultural,grader_a,3,1,5,[3]
19.html,cantar-ou-nao-cantar-o-hino-nacional-eis-a-questao,grader_b,3,1,4,[3]
6.html,carnaval-e-apropriacao-cultural,grader_a,1,0,3,[1]
7.html,a-ciencia-na-era-da-pos-verdade,grader_b,3,1,4,[3]
5.html,violencia-e-drogas-o-papel-do-usuario,grader_b,1,0,2,[1]
18.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,grader_b,2,1,4,[3]
9.html,posse-de-armas-mais-seguranca-ou-mais-perigo,grader_b,3,1,4,[3]
7.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,grader_a,3,1,4,[3]
0.html,politica-x-ciencia-a-pilula-do-cancer,grader_b,1,0,2,[1]
8.html,criptomoeda-tecnologia-e-revolucao-economica,grader_b,2,1,4,[3]
4.html,a-ciencia-na-era-da-pos-verdade,grader_a,3,1,4,[3]
2.html,redes-sociais-e-manipulacao-politica,grader_a,3,1,5,[3]
8.html,escola-no-brasil-com-partido-ou-sem-partido,grader_b,3,1,4,[3]
7.html,a-fe-e-decisiva-para-uma-vida-melhor,grader_b,3,2,3,[4]
13.html,carnaval-e-apropriacao-cultural,grader_a,3,2,5,[4]
17.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,grader_b,3,1,4,[3]
12.html,universidade-em-crise-quem-paga-a-conta,grader_a,2,1,4,[3]
16.html,por-que-nao-ha-novas-manifestacoes-nas-ruas,grader_a,2,1,4,[3]
